gm,game_date,home_away,opp,result,r,ra,record,rank,gb,time,time_minutes,day_night,attendance,year,wins,losses,win_pct,game_day
21,2026-04-19,away,MIA,L,3,5,12-9,4,-1.5,2:54:00,174,D,24553,2026,12,9,0.57,Sunday
20,2026-04-18,away,MIA,W,5,2,12-8,2,-0.5,2:53:00,173,D,15446,2026,12,8,0.6,Saturday
19,2026-04-17,away,MIA,W,7,5,11-8,3,-0.5,3:19:00,199,N,11103,2026,11,8,0.58,Friday
18,2026-04-16,home,TOR,W,2,1,10-8,3,-0.5,2:15:00,135,D,23098,2026,10,8,0.56,Thursday
17,2026-04-15,home,TOR,W,2,1,9-8,4,-1.5,2:26:00,146,N,23092,2026,9,8,0.53,Wednesday
16,2026-04-14,home,TOR,L,7,9,8-8,4,-1.5,3:21:00,201,N,25143,2026,8,8,0.5,Tuesday
15,2026-04-12,home,WSN,L,6,8,8-7,3,-1.0,2:43:00,163,D,26924,2026,8,7,0.53,Sunday
14,2026-04-11,home,WSN,L,1,3,8-6,3,-1.0,2:44:00,164,N,36442,2026,8,6,0.57,Saturday
13,2026-04-10,home,WSN,L,3,7,8-5,1,0.0,2:53:00,173,N,30196,2026,8,5,0.62,Friday
12,2026-04-08,away,BOS,L,0,5,8-4,1,0.0,2:36:00,156,D,28660,2026,8,4,0.67,Wednesday
11,2026-04-07,away,BOS,L,2,3,8-3,1,0.0,2:32:00,152,N,33193,2026,8,3,0.73,Tuesday
10,2026-04-06,away,BOS,W,8,6,8-2,1,1.0,3:13:00,193,N,35107,2026,8,2,0.8,Monday
9,2026-04-05,away,KCR,W,8,5,7-2,1,1.0,3:05:00,185,D,14584,2026,7,2,0.78,Sunday
7,2026-04-04,away,KCR,W,5,2,6-1,1,1.0,2:58:00,178,D,17055,2026,6,1,0.86,Saturday
8,2026-04-04,away,KCR,L,2,8,6-2,1,1.0,2:46:00,166,N,12732,2026,6,2,0.75,Saturday
6,2026-04-01,home,TBR,W,8,2,5-1,1,1.0,2:48:00,168,D,21949,2026,5,1,0.83,Wednesday
5,2026-03-31,home,TBR,W,6,2,4-1,1,1.0,2:33:00,153,N,20010,2026,4,1,0.8,Tuesday
4,2026-03-30,home,TBR,L,2,3,3-1,1,0.0,2:33:00,153,N,20022,2026,3,1,0.75,Monday
3,2026-03-29,home,CHW,W,9,7,3-0,1,1.0,3:07:00,187,D,32737,2026,3,0,1.0,Sunday
2,2026-03-28,home,CHW,W,6,1,2-0,1,0.0,3:01:00,181,N,36030,2026,2,0,1.0,Saturday
1,2026-03-26,home,CHW,W,14,2,1-0,1,0.0,3:06:00,186,D,43001,2026,1,0,1.0,Thursday
162,2025-09-28,home,CIN,W,4,2,97-65,1,5.0,2:35:00,155,D,41055,2025,97,65,0.6,Sunday
161,2025-09-27,home,CIN,L,4,7,96-65,1,5.0,3:08:00,188,N,40801,2025,96,65,0.6,Saturday
160,2025-09-26,home,CIN,L,1,3,96-64,1,6.0,2:19:00,139,N,40316,2025,96,64,0.6,Friday
159,2025-09-24,home,SDP,W,3,1,96-63,1,6.5,2:50:00,170,D,41462,2025,96,63,0.6,Wednesday
158,2025-09-23,home,SDP,L,0,7,95-63,1,6.5,2:13:00,133,N,44089,2025,95,63,0.6,Tuesday
157,2025-09-22,home,SDP,L,4,5,95-62,1,6.5,3:26:00,206,N,42371,2025,95,62,0.61,Monday
156,2025-09-21,home,STL,L,1,5,95-61,1,7.0,2:28:00,148,D,32723,2025,95,61,0.61,Sunday
155,2025-09-20,home,STL,W,3,2,95-60,1,7.0,2:44:00,164,N,36212,2025,95,60,0.61,Saturday
154,2025-09-19,home,STL,L,1,7,94-60,1,6.0,2:47:00,167,N,29752,2025,94,60,0.61,Friday
153,2025-09-18,home,LAA,W,5,2,94-59,1,6.0,2:35:00,155,N,34261,2025,94,59,0.61,Thursday
152,2025-09-17,home,LAA,W,9,2,93-59,1,5.0,2:21:00,141,N,28493,2025,93,59,0.61,Wednesday
151,2025-09-16,home,LAA,W,9,2,92-59,1,5.0,2:39:00,159,N,28566,2025,92,59,0.61,Tuesday
150,2025-09-14,home,STL,L,2,3,91-59,1,5.5,2:51:00,171,D,42269,2025,91,59,0.61,Sunday
149,2025-09-13,home,STL,W,9,8,91-58,1,6.5,3:37:00,217,N,41807,2025,91,58,0.61,Saturday
148,2025-09-12,home,STL,W,8,2,90-58,1,5.5,2:40:00,160,N,40525,2025,90,58,0.61,Friday
147,2025-09-10,home,TEX,L,3,6,89-58,1,5.5,2:46:00,166,D,24682,2025,89,58,0.61,Wednesday
146,2025-09-09,home,TEX,L,4,5,89-57,1,6.5,2:43:00,163,N,24581,2025,89,57,0.61,Tuesday
145,2025-09-08,home,TEX,L,0,5,89-56,1,7.5,2:20:00,140,N,20791,2025,89,56,0.61,Monday
144,2025-09-07,home,PIT,W,10,2,89-55,1,7.5,2:49:00,169,D,12443,2025,89,55,0.62,Sunday
143,2025-09-06,home,PIT,W,4,1,88-55,1,6.5,2:30:00,150,N,17975,2025,88,55,0.62,Saturday
142,2025-09-05,home,PIT,W,5,2,87-55,1,5.5,2:43:00,163,N,14122,2025,87,55,0.61,Friday
141,2025-09-04,home,PHI,L,0,2,86-55,1,5.5,2:36:00,156,D,26583,2025,86,55,0.61,Thursday
140,2025-09-03,home,PHI,W,6,3,86-54,1,6.0,2:36:00,156,N,28528,2025,86,54,0.61,Wednesday
139,2025-09-01,home,PHI,L,8,10,85-54,1,5.5,3:25:00,205,D,42153,2025,85,54,0.61,Monday
138,2025-08-31,home,TOR,L,4,8,85-53,1,6.5,2:45:00,165,D,41488,2025,85,53,0.62,Sunday
137,2025-08-30,home,TOR,W,4,1,85-52,1,6.5,2:29:00,149,D,41424,2025,85,52,0.62,Saturday
136,2025-08-29,home,TOR,W,7,2,84-52,1,6.5,2:52:00,172,N,41390,2025,84,52,0.62,Friday
135,2025-08-28,home,ARI,L,4,6,83-52,1,6.5,2:56:00,176,D,35822,2025,83,52,0.61,Thursday
134,2025-08-27,home,ARI,L,2,3,83-51,1,6.5,2:42:00,162,N,26176,2025,83,51,0.62,Wednesday
133,2025-08-26,home,ARI,W,9,8,83-50,1,6.5,3:27:00,207,N,32850,2025,83,50,0.62,Tuesday
132,2025-08-25,home,ARI,W,7,5,82-50,1,5.5,2:40:00,160,N,28486,2025,82,50,0.62,Monday
131,2025-08-24,home,SFG,L,3,4,81-50,1,5.0,2:51:00,171,D,42053,2025,81,50,0.62,Sunday
130,2025-08-23,home,SFG,L,1,7,81-49,1,6.0,2:38:00,158,N,41034,2025,81,49,0.62,Saturday
129,2025-08-22,home,SFG,W,5,4,81-48,1,7.0,2:52:00,172,N,41716,2025,81,48,0.63,Friday
128,2025-08-21,home,CHC,W,4,1,80-48,1,7.0,2:51:00,171,D,37850,2025,80,48,0.62,Thursday
127,2025-08-20,home,CHC,L,3,4,79-48,1,6.0,2:29:00,149,N,36327,2025,79,48,0.62,Wednesday
126,2025-08-19,home,CHC,L,1,4,79-47,1,7.0,2:33:00,153,N,34540,2025,79,47,0.63,Tuesday
125,2025-08-19,home,CHC,L,4,6,79-46,1,7.0,2:33:00,153,D,33103,2025,79,46,0.63,Tuesday
124,2025-08-18,home,CHC,W,7,0,79-45,1,9.0,2:38:00,158,D,38971,2025,79,45,0.64,Monday
123,2025-08-17,home,CIN,L,2,3,78-45,1,8.0,2:38:00,158,D,26426,2025,78,45,0.63,Sunday
122,2025-08-16,home,CIN,W,6,5,78-44,1,9.0,3:18:00,198,N,39022,2025,78,44,0.64,Saturday
121,2025-08-15,home,CIN,W,10,8,77-44,1,9.0,3:12:00,192,N,25470,2025,77,44,0.64,Friday
120,2025-08-13,home,PIT,W,12,5,76-44,1,7.5,3:03:00,183,D,40123,2025,76,44,0.63,Wednesday
119,2025-08-12,home,PIT,W,14,0,75-44,1,7.5,2:34:00,154,N,32064,2025,75,44,0.63,Tuesday
118,2025-08-11,home,PIT,W,7,1,74-44,1,6.5,2:19:00,139,N,30045,2025,74,44,0.63,Monday
117,2025-08-10,home,NYM,W,7,6,73-44,1,6.0,2:52:00,172,D,42461,2025,73,44,0.62,Sunday
116,2025-08-09,home,NYM,W,7,4,72-44,1,5.0,2:41:00,161,N,40156,2025,72,44,0.62,Saturday
115,2025-08-08,home,NYM,W,3,2,71-44,1,5.0,2:24:00,144,N,43469,2025,71,44,0.62,Friday
114,2025-08-06,home,ATL,W,5,4,70-44,1,4.0,2:40:00,160,N,30964,2025,70,44,0.61,Wednesday
113,2025-08-05,home,ATL,W,7,2,69-44,1,4.0,3:02:00,182,N,30642,2025,69,44,0.61,Tuesday
112,2025-08-04,home,ATL,W,3,1,68-44,1,3.0,2:11:00,131,N,30790,2025,68,44,0.61,Monday
111,2025-08-03,home,WSN,W,14,3,67-44,1,2.0,3:07:00,187,D,20066,2025,67,44,0.6,Sunday
110,2025-08-02,home,WSN,W,8,2,66-44,1,2.0,2:30:00,150,D,28869,2025,66,44,0.6,Saturday
109,2025-08-01,home,WSN,W,16,9,65-44,1,1.0,3:22:00,202,N,25194,2025,65,44,0.6,Friday
108,2025-07-30,home,CHC,L,3,10,64-44,1,1.0,2:40:00,160,D,42807,2025,64,44,0.59,Wednesday
107,2025-07-29,home,CHC,W,9,3,64-43,1,2.0,2:51:00,171,N,40136,2025,64,43,0.6,Tuesday
106,2025-07-28,home,CHC,W,8,4,63-43,1,1.0,2:35:00,155,N,41076,2025,63,43,0.59,Monday
105,2025-07-27,home,MIA,W,3,2,62-43,1,0.0,2:43:00,163,D,40158,2025,62,43,0.59,Sunday
104,2025-07-26,home,MIA,L,4,7,61-43,1,0.0,2:36:00,156,N,38055,2025,61,43,0.59,Saturday
103,2025-07-25,home,MIA,L,1,5,61-42,1,1.0,2:44:00,164,D,41944,2025,61,42,0.59,Friday
102,2025-07-23,home,SEA,W,10,2,61-41,1,1.0,2:26:00,146,D,41449,2025,61,41,0.6,Wednesday
101,2025-07-22,home,SEA,L,0,1,60-41,1,0.0,2:31:00,151,N,32189,2025,60,41,0.59,Tuesday
100,2025-07-21,home,SEA,W,6,0,60-40,1,1.0,2:19:00,139,N,30085,2025,60,40,0.6,Monday
99,2025-07-20,home,LAD,W,6,5,59-40,1,0.0,2:52:00,172,D,40376,2025,59,40,0.6,Sunday
98,2025-07-19,home,LAD,W,8,7,58-40,2,-1.0,2:51:00,171,N,53540,2025,58,40,0.59,Saturday
97,2025-07-18,home,LAD,W,2,0,57-40,2,-1.0,2:16:00,136,N,49281,2025,57,40,0.59,Friday
96,2025-07-13,home,WSN,W,8,1,56-40,2,-1.0,2:40:00,160,D,32135,2025,56,40,0.58,Sunday
95,2025-07-12,home,WSN,W,6,5,55-40,2,-1.0,2:35:00,155,D,35015,2025,55,40,0.58,Saturday
94,2025-07-11,home,WSN,W,8,3,54-40,2,-1.0,2:15:00,135,N,35057,2025,54,40,0.57,Friday
93,2025-07-09,home,LAD,W,3,2,53-40,2,-1.5,3:12:00,192,D,33607,2025,53,40,0.57,Wednesday
92,2025-07-08,home,LAD,W,3,1,52-40,2,-2.5,2:17:00,137,N,38175,2025,52,40,0.57,Tuesday
91,2025-07-07,home,LAD,W,9,1,51-40,2,-3.5,2:38:00,158,N,35365,2025,51,40,0.56,Monday
90,2025-07-06,home,MIA,W,3,1,50-40,2,-4.0,2:09:00,129,D,12513,2025,50,40,0.56,Sunday
89,2025-07-05,home,MIA,L,2,4,49-40,2,-4.0,2:32:00,152,D,11378,2025,49,40,0.55,Saturday
88,2025-07-04,home,MIA,W,6,5,49-39,2,-4.0,2:46:00,166,N,16715,2025,49,39,0.56,Friday
87,2025-07-03,home,NYM,L,2,3,48-39,2,-4.0,2:25:00,145,N,42241,2025,48,39,0.55,Thursday
86,2025-07-02,home,NYM,L,3,7,48-38,2,-3.0,2:53:00,173,N,41123,2025,48,38,0.56,Wednesday
85,2025-07-02,home,NYM,W,7,2,48-37,2,-3.0,2:34:00,154,D,36335,2025,48,37,0.56,Wednesday
84,2025-06-29,home,COL,L,3,4,47-37,2,-2.0,3:28:00,208,D,30037,2025,47,37,0.56,Sunday
83,2025-06-28,home,COL,W,5,0,47-36,2,-2.0,2:09:00,129,D,32057,2025,47,36,0.57,Saturday
82,2025-06-27,home,COL,W,10,6,46-36,2,-2.0,2:52:00,172,N,35008,2025,46,36,0.56,Friday
81,2025-06-25,home,PIT,W,4,2,45-36,2,-2.5,2:24:00,144,D,42774,2025,45,36,0.56,Wednesday
80,2025-06-24,home,PIT,W,9,3,44-36,2,-2.5,2:35:00,155,N,31772,2025,44,36,0.55,Tuesday
79,2025-06-23,home,PIT,L,4,5,43-36,2,-3.5,2:53:00,173,N,26791,2025,43,36,0.54,Monday
78,2025-06-22,home,MIN,W,9,8,43-35,2,-3.5,3:20:00,200,D,21143,2025,43,35,0.55,Sunday
77,2025-06-21,home,MIN,W,9,0,42-35,2,-4.5,2:27:00,147,D,28321,2025,42,35,0.55,Saturday
76,2025-06-20,home,MIN,W,17,6,41-35,2,-4.5,3:04:00,184,N,28011,2025,41,35,0.54,Friday
75,2025-06-19,home,CHC,W,8,7,40-35,2,-5.5,2:50:00,170,D,41078,2025,40,35,0.53,Thursday
74,2025-06-17,home,CHC,L,3,5,39-35,2,-6.5,2:26:00,146,N,38687,2025,39,35,0.53,Tuesday
73,2025-06-15,home,STL,W,3,2,39-34,2,-5.5,2:31:00,151,D,40629,2025,39,34,0.53,Sunday
72,2025-06-14,home,STL,L,5,8,38-34,2,-5.5,3:10:00,190,D,39017,2025,38,34,0.53,Saturday
71,2025-06-13,home,STL,W,3,2,38-33,2,-4.5,2:37:00,157,N,30026,2025,38,33,0.54,Friday
70,2025-06-12,home,STL,W,6,0,37-33,2,-5.5,2:29:00,149,N,27687,2025,37,33,0.53,Thursday
69,2025-06-11,home,ATL,L,2,6,36-33,3,-5.5,2:10:00,130,D,30809,2025,36,33,0.52,Wednesday
68,2025-06-10,home,ATL,W,4,1,36-32,3,-5.5,2:31:00,151,N,30028,2025,36,32,0.53,Tuesday
67,2025-06-09,home,ATL,L,1,7,35-32,3,-5.5,2:32:00,152,N,25145,2025,35,32,0.52,Monday
66,2025-06-08,home,SDP,L,0,1,35-31,3,-5.5,2:41:00,161,D,26265,2025,35,31,0.53,Sunday
65,2025-06-07,home,SDP,W,4,3,35-30,3,-5.5,2:51:00,171,N,37032,2025,35,30,0.54,Saturday
64,2025-06-06,home,SDP,L,0,2,34-30,3,-5.5,2:39:00,159,N,32298,2025,34,30,0.53,Friday
63,2025-06-04,home,CIN,W,9,1,34-29,3,-5.0,2:25:00,145,D,21775,2025,34,29,0.54,Wednesday
62,2025-06-03,home,CIN,L,2,4,33-29,3,-6.0,2:24:00,144,N,25749,2025,33,29,0.53,Tuesday
61,2025-06-02,home,CIN,W,3,2,33-28,3,-5.0,2:30:00,150,N,18711,2025,33,28,0.54,Monday
60,2025-06-01,home,PHI,W,5,2,32-28,3,-5.5,2:36:00,156,D,44076,2025,32,28,0.53,Sunday
59,2025-05-31,home,PHI,W,17,7,31-28,3,-5.5,2:42:00,162,D,43773,2025,31,28,0.53,Saturday
58,2025-05-30,home,PHI,W,6,2,30-28,3,-5.5,2:29:00,149,N,41546,2025,30,28,0.52,Friday
57,2025-05-28,home,BOS,W,6,5,29-28,3,-6.5,3:14:00,194,D,24603,2025,29,28,0.51,Wednesday
56,2025-05-27,home,BOS,W,5,1,28-28,3,-6.5,3:01:00,181,N,26489,2025,28,28,0.5,Tuesday
55,2025-05-26,home,BOS,W,3,2,27-28,3,-6.5,2:43:00,163,D,40181,2025,27,28,0.49,Monday
54,2025-05-25,home,PIT,W,6,5,26-28,3,-6.5,3:05:00,185,D,18920,2025,26,28,0.48,Sunday
53,2025-05-24,home,PIT,L,1,2,25-28,4,-6.5,2:24:00,144,D,24651,2025,25,28,0.47,Saturday
52,2025-05-23,home,PIT,L,5,6,25-27,3,-6.5,3:35:00,215,N,24646,2025,25,27,0.48,Friday
51,2025-05-22,home,PIT,W,8,5,25-26,3,-5.5,2:42:00,162,N,10114,2025,25,26,0.49,Thursday
50,2025-05-21,home,BAL,L,4,8,24-26,4,-6.0,3:28:00,208,D,30554,2025,24,26,0.48,Wednesday
49,2025-05-20,home,BAL,W,5,2,24-25,4,-5.0,2:51:00,171,N,22778,2025,24,25,0.49,Tuesday
48,2025-05-19,home,BAL,W,5,4,23-25,4,-5.0,2:38:00,158,N,22319,2025,23,25,0.48,Monday
47,2025-05-18,home,MIN,W,5,2,22-25,4,-6.0,2:21:00,141,D,30018,2025,22,25,0.47,Sunday
46,2025-05-17,home,MIN,L,0,7,21-25,4,-6.0,2:50:00,170,N,40267,2025,21,25,0.46,Saturday
45,2025-05-16,home,MIN,L,0,3,21-24,4,-5.0,2:32:00,152,N,33070,2025,21,24,0.47,Friday
44,2025-05-14,home,CLE,W,9,5,21-23,3,-4.0,2:57:00,177,D,25063,2025,21,23,0.48,Wednesday
43,2025-05-13,home,CLE,L,0,2,20-23,3,-5.0,2:11:00,131,N,16153,2025,20,23,0.47,Tuesday
42,2025-05-12,home,CLE,L,0,5,20-22,3,-4.0,2:43:00,163,N,17359,2025,20,22,0.48,Monday
41,2025-05-11,home,TBR,W,4,2,20-21,3,-3.0,2:28:00,148,D,10046,2025,20,21,0.49,Sunday
40,2025-05-10,home,TBR,L,2,3,19-21,4,-4.0,2:23:00,143,D,10046,2025,19,21,0.48,Saturday
39,2025-05-09,home,TBR,L,3,4,19-20,3,-3.0,2:43:00,163,N,10046,2025,19,20,0.49,Friday
38,2025-05-07,home,HOU,L,1,9,19-19,2,-3.0,2:34:00,154,D,26922,2025,19,19,0.5,Wednesday
37,2025-05-06,home,HOU,W,4,3,19-18,2,-3.0,2:33:00,153,N,21075,2025,19,18,0.51,Tuesday
36,2025-05-05,home,HOU,W,5,1,18-18,2,-4.0,2:29:00,149,N,20306,2025,18,18,0.5,Monday
35,2025-05-04,home,CHC,W,4,0,17-18,3,-4.0,2:28:00,148,D,37360,2025,17,18,0.49,Sunday
34,2025-05-03,home,CHC,L,2,6,16-18,3,-5.0,2:17:00,137,N,37335,2025,16,18,0.47,Saturday
33,2025-05-02,home,CHC,L,0,10,16-17,3,-4.0,2:34:00,154,N,34559,2025,16,17,0.48,Friday
32,2025-05-01,home,CHW,L,0,8,16-16,3,-3.0,2:18:00,138,D,11917,2025,16,16,0.5,Thursday
31,2025-04-30,home,CHW,W,6,4,16-15,2,-2.0,2:52:00,172,N,10253,2025,16,15,0.52,Wednesday
30,2025-04-29,home,CHW,W,7,2,15-15,3,-3.0,2:49:00,169,N,14904,2025,15,15,0.5,Tuesday
29,2025-04-27,home,STL,W,7,1,14-15,3,-3.0,2:42:00,162,D,32403,2025,14,15,0.48,Sunday
28,2025-04-26,home,STL,L,5,6,13-15,3,-4.0,2:47:00,167,D,35316,2025,13,15,0.46,Saturday
27,2025-04-25,home,STL,L,2,3,13-14,3,-4.0,2:29:00,149,N,24437,2025,13,14,0.48,Friday
26,2025-04-24,home,SFG,L,5,6,13-13,2,-3.0,2:50:00,170,D,28592,2025,13,13,0.5,Thursday
25,2025-04-23,home,SFG,L,2,4,13-12,2,-2.5,2:34:00,154,N,29049,2025,13,12,0.52,Wednesday
24,2025-04-22,home,SFG,W,11,3,13-11,2,-1.5,2:48:00,168,N,28573,2025,13,11,0.54,Tuesday
23,2025-04-21,home,SFG,L,2,5,12-11,2,-1.5,2:30:00,150,N,31758,2025,12,11,0.52,Monday
22,2025-04-20,home,ATH,W,14,1,12-10,2,-1.0,2:51:00,171,D,21512,2025,12,10,0.55,Sunday
21,2025-04-19,home,ATH,L,1,3,11-10,2,-2.0,1:59:00,119,N,30659,2025,11,10,0.52,Saturday
20,2025-04-18,home,ATH,W,5,3,11-9,2,-1.0,2:57:00,177,N,25008,2025,11,9,0.55,Friday
19,2025-04-16,home,DET,W,5,1,10-9,2,-1.0,2:21:00,141,D,22360,2025,10,9,0.53,Wednesday
18,2025-04-15,home,DET,W,5,0,9-9,3,-2.0,2:36:00,156,N,18396,2025,9,9,0.5,Tuesday
17,2025-04-14,home,DET,L,1,9,8-9,4,-2.0,2:23:00,143,N,20892,2025,8,9,0.47,Monday
16,2025-04-13,home,ARI,L,2,5,8-8,2,-2.0,2:50:00,170,D,30057,2025,8,8,0.5,Sunday
15,2025-04-12,home,ARI,L,4,5,8-7,2,-1.0,2:42:00,162,N,34853,2025,8,7,0.53,Saturday
14,2025-04-11,home,ARI,W,7,0,8-6,1,0.0,2:28:00,148,N,32026,2025,8,6,0.57,Friday
13,2025-04-10,home,COL,L,2,7,7-6,2,-1.0,2:37:00,157,D,18593,2025,7,6,0.54,Thursday
12,2025-04-09,home,COL,W,17,2,7-5,2,-0.5,3:06:00,186,N,18867,2025,7,5,0.58,Wednesday
11,2025-04-08,home,COL,W,7,1,6-5,2,-1.5,2:36:00,156,N,18657,2025,6,5,0.55,Tuesday
10,2025-04-06,home,CIN,W,8,2,5-5,2,-1.0,2:36:00,156,D,25778,2025,5,5,0.5,Sunday
9,2025-04-05,home,CIN,L,7,11,4-5,3,-2.0,2:40:00,160,N,32772,2025,4,5,0.44,Saturday
8,2025-04-04,home,CIN,W,3,2,4-4,3,-1.0,2:24:00,144,N,23004,2025,4,4,0.5,Friday
7,2025-04-03,home,CIN,W,1,0,3-4,3,-1.5,2:09:00,129,N,20113,2025,3,4,0.43,Thursday
6,2025-04-02,home,KCR,W,3,2,2-4,3,-2.0,3:10:00,190,D,19112,2025,2,4,0.33,Wednesday
5,2025-04-01,home,KCR,W,5,0,1-4,4,-2.0,2:30:00,150,N,18008,2025,1,4,0.2,Tuesday
4,2025-03-31,home,KCR,L,1,11,0-4,5,-3.0,2:55:00,175,D,41922,2025,0,4,0.0,Monday
3,2025-03-30,home,NYY,L,3,12,0-3,5,-3.0,2:41:00,161,D,41803,2025,0,3,0.0,Sunday
2,2025-03-29,home,NYY,L,9,20,0-2,5,-2.0,3:05:00,185,D,46683,2025,0,2,0.0,Saturday
1,2025-03-27,home,NYY,L,2,4,0-1,2,-1.0,3:08:00,188,D,46208,2025,0,1,0.0,Thursday
162,2024-09-29,home,NYM,L,0,5,93-69,1,10.0,2:34:00,154,D,33754,2024,93,69,0.57,Sunday
161,2024-09-28,home,NYM,W,6,0,93-68,1,10.0,2:31:00,151,N,39637,2024,93,68,0.58,Saturday
160,2024-09-27,home,NYM,W,8,4,92-68,1,10.0,3:05:00,185,N,33996,2024,92,68,0.57,Friday
159,2024-09-26,home,PIT,W,5,2,91-68,1,10.0,2:52:00,172,D,16797,2024,91,68,0.57,Thursday
158,2024-09-25,home,PIT,L,1,2,90-68,1,9.0,2:11:00,131,N,15965,2024,90,68,0.57,Wednesday
157,2024-09-24,home,PIT,W,7,2,90-67,1,9.5,2:41:00,161,N,14020,2024,90,67,0.57,Tuesday
156,2024-09-22,home,ARI,W,10,9,89-67,1,9.0,3:34:00,214,D,37612,2024,89,67,0.57,Sunday
155,2024-09-21,home,ARI,L,0,5,88-67,1,9.0,2:42:00,162,N,35068,2024,88,67,0.57,Saturday
154,2024-09-20,home,ARI,L,4,7,88-66,1,9.0,2:56:00,176,N,32123,2024,88,66,0.57,Friday
153,2024-09-19,home,ARI,L,1,5,88-65,1,10.0,2:37:00,157,N,25093,2024,88,65,0.58,Thursday
152,2024-09-18,home,PHI,W,2,1,88-64,1,11.0,2:41:00,161,N,30048,2024,88,64,0.58,Wednesday
151,2024-09-17,home,PHI,L,1,5,87-64,1,10.0,2:40:00,160,N,30059,2024,87,64,0.58,Tuesday
150,2024-09-16,home,PHI,W,6,2,87-63,1,10.0,2:48:00,168,N,28713,2024,87,63,0.58,Monday
149,2024-09-15,home,ARI,L,10,11,86-63,1,10.0,3:50:00,230,D,33708,2024,86,63,0.58,Sunday
148,2024-09-14,home,ARI,W,15,8,86-62,1,11.0,3:03:00,183,N,44886,2024,86,62,0.58,Saturday
147,2024-09-13,home,ARI,W,2,1,85-62,1,10.0,2:48:00,168,N,31033,2024,85,62,0.58,Friday
146,2024-09-12,home,SFG,W,3,0,84-62,1,9.0,2:28:00,148,N,22184,2024,84,62,0.58,Thursday
145,2024-09-11,home,SFG,L,2,13,83-62,1,8.5,2:36:00,156,N,22042,2024,83,62,0.57,Wednesday
144,2024-09-10,home,SFG,W,3,2,83-61,1,8.5,2:07:00,127,N,25096,2024,83,61,0.58,Tuesday
143,2024-09-08,home,COL,L,1,4,82-61,1,9.0,2:27:00,147,D,42015,2024,82,61,0.57,Sunday
142,2024-09-07,home,COL,W,5,2,82-60,1,10.0,2:16:00,136,N,33603,2024,82,60,0.58,Saturday
141,2024-09-06,home,COL,L,2,3,81-60,1,9.0,2:25:00,145,N,26582,2024,81,60,0.57,Friday
140,2024-09-04,home,STL,L,2,3,81-59,1,9.0,2:55:00,175,N,20027,2024,81,59,0.58,Wednesday
139,2024-09-03,home,STL,L,4,7,81-58,1,10.0,3:13:00,193,N,20027,2024,81,58,0.58,Tuesday
138,2024-09-02,home,STL,W,9,3,81-57,1,10.0,2:55:00,175,D,41731,2024,81,57,0.59,Monday
137,2024-09-01,home,CIN,L,3,4,80-57,1,9.0,3:04:00,184,D,26457,2024,80,57,0.58,Sunday
136,2024-08-31,home,CIN,W,5,4,80-56,1,10.0,3:17:00,197,N,27881,2024,80,56,0.59,Saturday
135,2024-08-30,home,CIN,W,14,0,79-56,1,10.0,2:40:00,160,N,22488,2024,79,56,0.59,Friday
134,2024-08-30,home,CIN,W,5,4,78-56,1,10.0,3:10:00,190,D,14436,2024,78,56,0.58,Friday
133,2024-08-29,home,SFG,W,6,0,77-56,1,9.5,2:14:00,134,D,30920,2024,77,56,0.58,Thursday
132,2024-08-28,home,SFG,W,5,3,76-56,1,9.0,2:43:00,163,N,23247,2024,76,56,0.58,Wednesday
131,2024-08-27,home,SFG,L,4,5,75-56,1,9.0,2:52:00,172,N,24354,2024,75,56,0.57,Tuesday
130,2024-08-25,home,OAK,L,3,4,75-55,1,10.0,2:27:00,147,D,15961,2024,75,55,0.58,Sunday
129,2024-08-24,home,OAK,W,9,5,75-54,1,10.5,2:58:00,178,D,12769,2024,75,54,0.58,Saturday
128,2024-08-23,home,OAK,W,11,3,74-54,1,10.0,2:51:00,171,N,14031,2024,74,54,0.58,Friday
127,2024-08-22,home,STL,L,0,3,73-54,1,10.0,2:35:00,155,D,28630,2024,73,54,0.57,Thursday
126,2024-08-21,home,STL,L,6,10,73-53,1,11.0,3:51:00,231,N,29580,2024,73,53,0.58,Wednesday
125,2024-08-20,home,STL,W,3,2,73-52,1,11.5,2:29:00,149,N,30022,2024,73,52,0.58,Tuesday
124,2024-08-18,home,CLE,W,2,0,72-52,1,11.0,2:07:00,127,D,34483,2024,72,52,0.58,Sunday
123,2024-08-17,home,CLE,W,2,1,71-52,1,10.0,2:18:00,138,N,37518,2024,71,52,0.58,Saturday
122,2024-08-16,home,CLE,W,5,3,70-52,1,10.0,2:36:00,156,N,30346,2024,70,52,0.57,Friday
121,2024-08-15,home,LAD,W,6,4,69-52,1,9.0,2:41:00,161,D,40447,2024,69,52,0.57,Thursday
120,2024-08-14,home,LAD,W,5,4,68-52,1,8.5,2:59:00,179,N,31084,2024,68,52,0.57,Wednesday
119,2024-08-13,home,LAD,L,2,7,67-52,1,7.5,2:34:00,154,N,29174,2024,67,52,0.56,Tuesday
118,2024-08-12,home,LAD,L,2,5,67-51,1,7.5,2:29:00,149,N,33618,2024,67,51,0.57,Monday
117,2024-08-11,home,CIN,L,3,4,67-50,1,7.5,2:34:00,154,D,40049,2024,67,50,0.57,Sunday
116,2024-08-10,home,CIN,W,1,0,67-49,1,8.0,2:03:00,123,N,38639,2024,67,49,0.58,Saturday
