date,transaction,players
2026-04-03,Brewers selected the contract of SS Cooper Pratt from Nashville Sounds.,['Cooper Pratt']
2026-04-03,Brewers optioned SS Cooper Pratt to Nashville Sounds.,['Cooper Pratt']
2026-04-02,Brewers optioned RF Steward Berroa to Nashville Sounds.,['Steward Berroa']
2026-03-31,Brewers activated RF Luis Matos.,['Luis Matos']
2026-03-31,Brewers sent LHP Rob Zastryzny on a rehab assignment to Nashville Sounds.,['Rob Zastryzny']
2026-03-31,Brewers sent RF Steward Berroa on a rehab assignment to Nashville Sounds.,['Steward Berroa']
2026-03-31,Brewers optioned C Jeferson Quero to Nashville Sounds.,['Jeferson Quero']
2026-03-30,San Francisco Giants traded RF Luis Matos to Brewers for cash.,['Luis Matos']
2026-03-30,Brewers designated LHP Sammy Peralta for assignment.,['Sammy Peralta']
2026-03-28,Brewers recalled C Jeferson Quero from Nashville Sounds.,['Jeferson Quero']
2026-03-28,"Brewers placed 1B Andrew Vaughn on the 10-day injured list retroactive to March 27, 2026. Left hamate fracture.",['Andrew Vaughn']
2026-03-27,Los Angeles Dodgers traded RF Damon Keith to Brewers.,['Damon Keith']
2026-03-26,"Brewers placed CF Jackson Chourio on the 10-day injured list retroactive to March 25, 2026. Left hand fracture.",['Jackson Chourio']
2026-03-26,Brewers recalled CF Blake Perkins from Nashville Sounds.,['Blake Perkins']
2026-03-25,"Brewers placed RHP Craig Yoho on the 15-day injured list retroactive to March 22, 2026. Right calf strain.",['Craig Yoho']
2026-03-25,"Brewers placed RHP Quinn Priester on the 15-day injured list retroactive to March 22, 2026. Right thoracic outlet syndrome.",['Quinn Priester']
2026-03-25,"Brewers placed RF Steward Berroa on the 10-day injured list retroactive to March 22, 2026. Right shoulder strain.",['Steward Berroa']
2026-03-25,"Brewers placed LHP Rob Zastryzny on the 15-day injured list retroactive to March 22, 2026. Left shoulder strain.",['Rob Zastryzny']
2026-03-25,Brewers optioned RHP Easton McGee to Nashville Sounds.,['Easton McGee']
