name,era+,fip,so_bb
Jacob Misiorowski,263.0,2.09,6.19
Kyle Harrison (15-day IL)*,142.0,3.1,5.05
Brandon Woodruff (15-day IL),144.0,3.19,4.7
Robert Gasser*,103.0,4.9,2.86
Brandon Sproat,83.0,5.11,2.23
